KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
3705,College of William and Mary,VA,Williamsburg,32,28,1250,,6276,37.00%,21.00%,42153,43099,TRUE
2133,Brandeis University,MA,Waltham,34,29,1270,3.9,3608,33.00%,47.00%,29288,53582,TRUE
1569,Georgia Institute of Technology,GA,Atlanta,34,30,1320,3.9,15489,26.00%,15.00%,39518,33014,TRUE
2894,University of Rochester,NY,Rochester,34,29,1250,,6386,38.00%,51.00%,28476,52020,TRUE
2130,Boston University,MA,Boston,37,28,1220,3.6,17944,29.00%,36.00%,34539,52082,TRUE
3024,Case Western Reserve University,OH,Cleveland,37,30,1280,,5152,35.00%,48.00%,35248,47500,TRUE
1320,University of California--Santa Barbara,CA,Santa Barbara,37,25,1140,4,21574,36.00%,8.00%,44849,42423,TRUE
2199,Northeastern University,MA,Boston,40,31,1330,,13473,29.00%,34.00%,38521,49497,TRUE
2029,Tulane University,LA,New Orleans,40,29,1250,3.5,6377,26.00%,31.00%,35111,52960,TRUE
2803,Rensselaer Polytechnic Institute,NY,Troy,42,28,1280,3.9,6265,44.00%,61.00%,35125,52305,TRUE
1314,University of California--Irvine,CA,Irvine,42,,1060,4,27331,41.00%,6.00%,43506,43530,TRUE
1317,University of California--San Diego,CA,La Jolla,42,25,1140,4,28127,36.00%,7.00%,42933,44197,TRUE
1535,University of Florida,FL,Gainesville,42,27,1180,4,34554,46.00%,20.00%,36825,28658,TRUE
3289,Lehigh University,PA,Bethlehem,46,29,1230,,5080,26.00%,38.00%,25376,50740,TRUE
1264,Pepperdine University,CA,Malibu,46,26,1110,3.6,3542,37.00%,51.00%,32416,51992,TRUE
1313,University of California--Davis,CA,Davis,46,24,1050,4,29546,42.00%,9.00%,44075,42396,TRUE
1536,University of Miami,FL,Coral Gables,46,28,1210,3.6,10849,38.00%,33.00%,34479,48484,TRUE
3895,University of Wisconsin--Madison,WI,Madison,46,27,1234,3.8,31710,53.00%,16.00%,36113,34782,TRUE
3388,Villanova University,PA,Villanova,46,30,1220,3.7,6999,44.00%,44.00%,35459,51434,TRUE
6965,Pennsylvania State University--University Park,PA,University Park,52,25,1090,3.6,41359,56.00%,14.00%,41789,33664,TRUE
1775,University of Illinois--Urbana-Champaign,IL,Champaign,52,26,1280,,33932,60.00%,9.00%,35977,31988,TRUE
6883,Ohio State University--Columbus,OH,Columbus,54,27,1160,,45831,54.00%,9.00%,37032,29659,TRUE
1598,University of Georgia,GA,Athens,54,26,1140,4,27951,54.00%,13.00%,30943,30392,TRUE
1444,George Washington University,DC,Washington,56,27,1180,,11504,40.00%,43.00%,37996,53518,TRUE
1825,Purdue University--West Lafayette,IN,West Lafayette,56,25,1080,3.7,30043,56.00%,16.00%,28383,28804,TRUE
29013,University of Connecticut,CT,Storrs,56,26,1130,,19324,49.00%,33.00%,37427,36948,TRUE
3658,University of Texas--Austin,TX,Austin,56,26,1140,,40168,40.00%,7.00%,40558,35766,TRUE
3798,University of Washington,WA,Seattle,56,26,1120,3.8,30933,45.00%,20.00%,47746,35538,TRUE
3670,Brigham Young University--Provo,UT,Provo,61,27,1160,3.8,30979,51.00%,38.00%,13186,5460,TRUE
2722,Fordham University,NY,New York,61,27,1170,3.6,9258,45.00%,0.00%,,50601,TRUE
3613,Southern Methodist University,TX,Dallas,61,28,1220,3.7,6521,49.00%,24.00%,47874,52498,TRUE
2882,Syracuse University,NY,Syracuse,61,25,1090,3.6,15218,52.00%,48.00%,33912,46755,TRUE
2103,University of Maryland--College Park,MD,College Park,61,28,1210,4,28472,48.00%,20.00%,36786,33606,TRUE
2233,Worcester Polytechnic Institute,MA,Worcester,61,28,1200,3.8,4432,48.00%,62.00%,39995,48628,TRUE
3425,Clemson University,SC,Clemson,67,26,1150,4,18599,51.00%,7.00%,38923,35654,TRUE
3379,University of Pittsburgh,PA,Pittsburgh,68,27,1190,4,19123,55.00%,0.00%,,30642,TRUE
1434,American University,DC,Washington,69,26,1150,3.7,7901,26.00%,46.00%,36076,46615,TRUE
6964,Rutgers University--New Brunswick,NJ,Piscataway,69,,1110,,36168,57.00%,13.00%,40121,30023,TRUE
2639,Stevens Institute of Technology,NJ,Hoboken,69,29,1260,3.8,3021,39.00%,40.00%,51810,50554,TRUE
10366,Texas A&M University--College Station,TX,College Station,69,24,1070,,50735,66.00%,41.00%,26376,30208,TRUE
3969,University of Minnesota--Twin Cities,MN,Minneapolis,69,26,1180,,34871,44.00%,23.00%,28170,26603,TRUE
3754,Virginia Tech,VA,Blacksburg,69,,1100,3.9,25791,71.00%,0.00%,,29371,TRUE
6967,Baylor University,TX,Waco,75,26,1120,,14348,40.00%,53.00%,36761,43790,TRUE
1348,Colorado School of Mines,CO,Golden,75,29,1250,3.8,4612,40.00%,21.00%,47042,37436,TRUE
2221,University of Massachusetts--Amherst,MA,Amherst,75,25,1130,3.8,23373,60.00%,35.00%,35445,33662,TRUE
7104,Miami University--Oxford,OH,Oxford,78,26,1130,3.8,16981,65.00%,10.00%,42507,32768,TRUE
3636,Texas Christian University,TX,Fort Worth,78,25,1070,,8891,38.00%,35.00%,33953,44760,TRUE
1892,University of Iowa,IA,Iowa City,78,23,1020,3.6,24476,84.00%,34.00%,32794,28813,TRUE
2139,Clark University,MA,Worcester,81,27,1110,3.7,2289,55.00%,62.00%,27702,44400,TRUE
1489,Florida State University,FL,Tallahassee,81,25,1110,,32929,58.00%,27.00%,34036,21673,TRUE
