Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,MSc Psychology in Sport and Exercise,German Sport University Cologne,Köln,Sport,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5484/
Master's degree,MSc Psychology: Learning Sciences,Ludwig-Maximilians-Universität München,München,Psychology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4205/
Master's degree,"MSc Remote Sensing, geoInformation, and Visualisation (RSIV)",University of Potsdam,Potsdam,Earth Sciences (excluding Geography),English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4855/
Master's degree,MSc Renewable Energy and Energy Efficiency for the Middle East and North Africa (MENA) Region (REMENA),University of Kassel,Kassel,Electrical Engineering,English,"Winter semester, Summer semester",4 semesters,"EUR 2,500",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4412/
Master's degree,MSc Renewable Energy Systems,Hamburg University of Applied Sciences,Hamburg,Engineering in general,English,Winter semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4059/
Master's degree,MSc Sport Management,German Sport University Cologne,Köln,Sport,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5485/
Master's degree,"MSc Sustainability Management: Technology, Analytics & Transformation (SMA)",RWTH Aachen University,Aachen,Business and Economics,English,Winter semester,3 semesters,"EUR 10,000",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9153/
Master's degree,Multilingualism and Regionality (MA_MuR),University of Regensburg,Regensburg,Languages and Cultural Studies in general,"German, English",Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6569/
Master's degree,Museum and Ancient Cultures / Museum und alte Kulturen,Julius-Maximilians-Universität Würzburg,Würzburg,Languages and Cultural Studies in general,"German, English",Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8436/
Master's degree,Music Acoustics (MSc),Detmold University of Music,Detmold,Engineering in general,"English, German",Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6213/
Master's degree,Music Therapy (MA),SRH University Heidelberg,Heidelberg,"Music, Musicology",English,Winter semester,4 semesters,"EUR 5,100",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4622/
Master's degree,Nanoelectronic Systems,Dresden University of Technology,Dresden,Electrical Engineering,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4257/
Master's degree,Nanoscience (Master of Science),University of Konstanz,Konstanz,Chemistry,English,"Winter semester, Summer semester",4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6363/
Master's degree,Nanoscience (MSc),University of Tübingen,Tübingen,"Mathematics, Natural Sciences in general",English,"Winter semester, Summer semester",4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4613/
Master's degree,Nanoscience (MSc),University of Kassel,Kassel,"Mathematics, Natural Sciences in general","English, German","Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4735/
Master's degree,"Nanoscience - Materials, Molecules and Cells",Osnabrück University,Osnabrück,"Mathematics, Natural Sciences in general",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6137/
Master's degree,Nanoscience and Nanotechnology,University of Siegen,Siegen,"Mathematics, Natural Sciences in general",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4872/
Master's degree,"Nanoscience – Materials, Molecules and Cells",Osnabrück University,Osnabrück,Chemistry,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9051/
Master's degree,National and International Administration and Policy with Fast-Track Doctoral Stream (MANIA),University of Potsdam,Potsdam,Public Administration,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5376/
